name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,aggregate,component,component_label,bin_index,bin_left,bin_right,bin_mid,count,cumulative_count,cumulative_fraction,total_count
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,30,4.216965034285822e-05,5.623413251903491e-05,4.869675251658631e-05,14355,1417565,0.018008105931131876,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,31,5.623413251903491e-05,7.498942093324559e-05,6.493816315762113e-05,22666,1440231,0.018296044564658408,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,32,7.498942093324559e-05,0.0001,8.659643233600654e-05,22290,1462521,0.01857920666389543,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,33,0.0001,0.0001333521432163324,0.00011547819846894582,74409,1536930,0.01952446501482085,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,34,0.0001333521432163324,0.00017782794100389227,0.0001539926526059492,54200,1591130,0.020212997351233886,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,35,0.00017782794100389227,0.0002371373705661655,0.00020535250264571458,286367,1877497,0.023850874465285405,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,36,0.0002371373705661655,0.00031622776601683794,0.0002738419634264361,100246,1977743,0.02512435440248211,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,37,0.00031622776601683794,0.00042169650342858224,0.0003651741272548377,279079,2256822,0.028669648054028496,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,38,0.00042169650342858224,0.0005623413251903491,0.00048696752516586315,911618,3168440,0.04025043166023109,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,39,0.0005623413251903491,0.0007498942093324559,0.0006493816315762113,571646,3740086,0.0475123644274113,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,40,0.0007498942093324559,0.001,0.0008659643233600654,2077260,5817346,0.07390093788012987,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,41,0.001,0.001333521432163324,0.0011547819846894581,1084576,6901922,0.08767890185240859,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,42,0.001333521432163324,0.0017782794100389228,0.001539926526059492,2499885,9401807,0.11943631255008215,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,43,0.0017782794100389228,0.0023713737056616554,0.002053525026457146,3180298,12582105,0.15983738289011373,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,44,0.0023713737056616554,0.0031622776601683794,0.0027384196342643613,3824283,16406388,0.20841934800256134,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,45,0.0031622776601683794,0.004216965034285822,0.0036517412725483767,5002016,21408404,0.27196270156815905,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,46,0.004216965034285822,0.005623413251903491,0.004869675251658631,6928333,28336737,0.35997711684375966,78718162
Alpha,Alpha,Alpha,Alpha,base,,,0,all,all,All tensors,47,0.005623413251903491,0.007498942093324558,0.006493816315762113,8127179,36463916,0.46322113059499537,78718162
