name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,tensor,tensor_stem,component,component_label,component_order,layer,submodule,submodule_group,shape,numel,baseline_mean,baseline_std,tuned_mean,tuned_std,delta_mean,delta_std,delta_l1_sum,delta_l2_norm,delta_linf_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,abs_delta_q500,abs_delta_q950,abs_delta_q990,abs_delta_q999,abs_delta_z_q500,abs_delta_z_q950,abs_delta_z_q990,abs_delta_z_q999,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_fraction
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.0.self_attn.Wqkv.weight.tensor,transformer_encoder.0.self_attn.Wqkv.weight,transformer_self_attn,Transformer self-attention,1,0.0,self_attn_Wqkv_weight,Self-attention,1536x512,786432,-5.857439828105271e-05,0.08021117746829987,-6.031895100022666e-05,0.08017324656248093,-1.7445221374146058e-06,0.0006968607776798308,423.2623596191406,0.6179842815545221,0.003662109375,71.13212906385026,71.09850258839845,0.008687836139415888,0.9999608649833497,0.005886077880859375,0.00042724609375,0.00140380859375,0.001922607421875,0.00250244140625,0.0053265150636434555,0.017501406371593475,0.023969318717718124,0.031198160722851753,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.0.self_attn.out_proj.bias.tensor,transformer_encoder.0.self_attn.out_proj.bias,transformer_self_attn,Transformer self-attention,1,0.0,self_attn_out_proj_bias,Self-attention,512,512,-0.0022732503712177277,0.02975558303296566,-0.002241841284558177,0.029729604721069336,3.140897024422884e-05,0.00036125988117419183,0.1455671191215515,0.008205215189226412,0.0013117790222167969,0.6752539766188196,0.6746140471596497,0.012151302285252737,0.9999266201127658,0.046875,0.00021791458129882812,0.000732421875,0.0010229140752926469,0.0012886315817013383,0.007323483005166054,0.024614594876766205,0.03437720239162445,0.04330720752477646,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.0.self_attn.out_proj.weight.tensor,transformer_encoder.0.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,0.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-1.71788597072009e-05,0.029549462720751762,-1.9595096091507003e-05,0.029539339244365692,-2.4162422960216645e-06,0.0007388588855974376,150.70681762695312,0.3782976119084803,0.00384521484375,15.129331866915267,15.12414951928341,0.025004251029466427,0.9996867383458216,0.013004302978515625,0.00046539306640625,0.001483917236328125,0.0019989013671875,0.00262451171875,0.015749623998999596,0.050218064337968826,0.06764592230319977,0.0888175517320633,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.1.self_attn.Wqkv.weight.tensor,transformer_encoder.1.self_attn.Wqkv.weight,transformer_self_attn,Transformer self-attention,1,1.0,self_attn_Wqkv_weight,Self-attention,1536x512,786432,0.00025529079721309245,0.06557293981313705,0.0002568284689914435,0.06551618129014969,1.5376150486190454e-06,0.0007336628041230142,447.77178955078125,0.650620222376451,0.0038604736328125,58.15122896111053,58.100895959770924,0.011188417407507438,0.9999360273314802,0.0045420327223837376,0.000457763671875,0.00146484375,0.001983642578125,0.002593994140625,0.006980983540415764,0.022339148446917534,0.030250929296016693,0.039558906108140945,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.1.self_attn.out_proj.bias.tensor,transformer_encoder.1.self_attn.out_proj.bias,transformer_self_attn,Transformer self-attention,1,1.0,self_attn_out_proj_bias,Self-attention,512,512,-0.00044205912854522467,0.029170624911785126,-0.00047680758871138096,0.0292343832552433,-3.474846016615629e-05,0.00037013032124377787,0.14657920598983765,0.008411919973940144,0.0015869140625,0.6601316910187729,0.6615865663197266,0.012742790701269609,0.9999213894328772,0.0078125,0.00023698806762695312,0.0007392880506813526,0.00103759765625,0.0015084564220160246,0.008124200627207756,0.025343570858240128,0.0355699397623539,0.051711469888687134,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.1.self_attn.out_proj.weight.tensor,transformer_encoder.1.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,1.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-6.949186354177073e-05,0.046070944517850876,-6.789299368392676e-05,0.046049565076828,1.5988580344128422e-06,0.0007954832981340587,165.44866943359375,0.4072881418776453,0.0043487548828125,23.588355654028483,23.577410525954182,0.017266491477886052,0.9998504149879498,0.0086517333984375,0.00052642822265625,0.0015716552734375,0.0020771026611328125,0.002685546875,0.011426466517150402,0.034113798290491104,0.04508486017584801,0.058291539549827576,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.2.self_attn.Wqkv.weight.tensor,transformer_encoder.2.self_attn.Wqkv.weight,transformer_self_attn,Transformer self-attention,1,2.0,self_attn_Wqkv_weight,Self-attention,1536x512,786432,-0.00013327761553227901,0.07562576979398727,-0.0001316878042416647,0.07557523995637894,1.5898086758170393e-06,0.0007939723436720669,495.077880859375,0.7041033825473832,0.004150390625,67.06584189017163,67.0210292324357,0.010498688493323124,0.9999434088778685,0.00411224365234375,0.000518798828125,0.00157928466796875,0.0020751953125,0.002685546875,0.0068600792437791824,0.02088288776576519,0.02744031697511673,0.03551099821925163,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.2.self_attn.out_proj.bias.tensor,transformer_encoder.2.self_attn.out_proj.bias,transformer_self_attn,Transformer self-attention,1,2.0,self_attn_out_proj_bias,Self-attention,512,512,-0.0003780202241614461,0.041862670332193375,-0.0004010389093309641,0.04188760370016098,-2.3018685169517994e-05,0.00037075651925988495,0.14692634344100952,0.00840541556980983,0.002197265625,0.9472827083974211,0.9478517272559195,0.008873185898242498,0.9999607485082975,0.001953125,0.000244140625,0.000732421875,0.00091552734375,0.0018230080604553223,0.00583193963393569,0.017495818436145782,0.021869773045182228,0.04354733228683472,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.2.self_attn.out_proj.weight.tensor,transformer_encoder.2.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,2.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-8.489452739013359e-05,0.05466361343860626,-8.631483069621027e-05,0.054628778249025345,-1.4203010323399212e-06,0.0007939978968352079,165.1934051513672,0.4065274794828375,0.005126953125,27.987814295214935,27.96997749575929,0.014525159956929072,0.9998940491496886,0.00568389892578125,0.00052642822265625,0.001556396484375,0.0020751953125,0.00274658203125,0.009630320593714714,0.028472252190113068,0.03796300292015076,0.05024515092372894,0.0,0.0,0.0,0.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.3.self_attn.Wqkv.weight.tensor,transformer_encoder.3.self_attn.Wqkv.weight,transformer_self_attn,Transformer self-attention,1,3.0,self_attn_Wqkv_weight,Self-attention,1536x512,786432,-0.00014777800242882222,0.079198457300663,-0.00014864215336274356,0.07915747910737991,-8.641522981633898e-07,0.0008054538047872484,502.196533203125,0.7142842922877735,0.00396728515625,70.23416122047554,70.19781967211482,0.010170040901400076,0.9999469510022196,0.003986358642578125,0.00054168701171875,0.0015869140625,0.002105712890625,0.002716064453125,0.006839614827185869,0.020037181675434113,0.026587799191474915,0.034294407814741135,0.0,0.0,0.0,0.0
