name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,tensor,tensor_stem,component,component_label,component_order,layer,submodule,submodule_group,shape,numel,baseline_mean,baseline_std,tuned_mean,tuned_std,delta_mean,delta_std,delta_l1_sum,delta_l2_norm,delta_linf_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,abs_delta_q500,abs_delta_q950,abs_delta_q990,abs_delta_q999,abs_delta_z_q500,abs_delta_z_q950,abs_delta_z_q990,abs_delta_z_q999,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_fraction,relative_l2_rank
Alpha,Alpha,Alpha,Alpha,base,,,0,crf.linear.weight.tensor,crf.linear.weight,crf,CRF head,5,,linear_weight,CRF,4096x512,2097152,-0.00031572766602039337,0.03356962278485298,-0.00032342440681532025,0.033468056470155716,-7.696703505644109e-06,0.0012591147096827626,2135.654541015625,1.8234170136203904,0.0067138671875,48.61623023021093,48.46926126019846,0.0375063431489028,0.9992960096380006,0.01239776611328125,0.000885009765625,0.00241851806640625,0.003143310546875,0.0040435791015625,0.026363402605056763,0.07204481214284897,0.09363552927970886,0.12045347690582275,0.0,0.0,0.0,0.0,11.0
Alpha,Alpha,Alpha,Alpha,base,,,0,upsample.linear.bias.tensor,upsample.linear.bias,upsample,Upsample,4,,linear_bias,Upsample,1024,1024,0.0006987148080952466,0.0231142770498991,0.0006936087156645954,0.0232225451618433,-5.106092430651188e-06,0.0006750526954419911,0.5455070734024048,0.02160230289771774,0.002197265625,0.73999470476885,0.7434528205899661,0.02919251010645596,0.9995869249872686,0.0107421875,0.0004398822784423828,0.0013272284995764494,0.0017347384709864855,0.0021930523216724396,0.019030753523111343,0.0574202686548233,0.075050488114357,0.094878651201725,0.0,0.0,0.0,0.0,12.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.0.self_attn.out_proj.weight.tensor,transformer_encoder.0.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,0.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-1.71788597072009e-05,0.029549462720751762,-1.9595096091507003e-05,0.029539339244365692,-2.4162422960216645e-06,0.0007388588855974376,150.70681762695312,0.3782976119084803,0.00384521484375,15.129331866915267,15.12414951928341,0.025004251029466427,0.9996867383458216,0.013004302978515625,0.00046539306640625,0.001483917236328125,0.0019989013671875,0.00262451171875,0.015749623998999596,0.050218064337968826,0.06764592230319977,0.0888175517320633,0.0,0.0,0.0,0.0,13.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.17.norm2.weight.tensor,transformer_encoder.17.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,17.0,norm2_weight,Norm/deepnorm,512,512,0.24103976786136627,0.018107499927282333,0.24550029635429382,0.018530551344156265,0.004460518714040518,0.000974282156676054,2.283785581588745,0.10330959275275019,0.010498046875,5.469475223955573,5.570839106638315,0.018888392125856798,0.9999934856491894,0.0,0.00439453125,0.006103515625,0.006591796875,0.009125769138336182,0.24269109964370728,0.3370709717273712,0.3640366494655609,0.5039770603179932,0.0,0.0,0.0,0.0,14.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.1.self_attn.out_proj.weight.tensor,transformer_encoder.1.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,1.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-6.949186354177073e-05,0.046070944517850876,-6.789299368392676e-05,0.046049565076828,1.5988580344128422e-06,0.0007954832981340587,165.44866943359375,0.4072881418776453,0.0043487548828125,23.588355654028483,23.577410525954182,0.017266491477886052,0.9998504149879498,0.0086517333984375,0.00052642822265625,0.0015716552734375,0.0020771026611328125,0.002685546875,0.011426466517150402,0.034113798290491104,0.04508486017584801,0.058291539549827576,0.0,0.0,0.0,0.0,15.0
Alpha,Alpha,Alpha,Alpha,base,,,0,upsample.linear.weight.tensor,upsample.linear.weight,upsample,Upsample,4,,linear_weight,Upsample,1024x512,524288,2.0732361008413136e-05,0.06463779509067535,1.8521583115216345e-05,0.06465469300746918,-2.210784259659704e-06,0.0011017457582056522,460.9690856933594,0.7977503288600701,0.0068359375,46.802790736270474,46.81502673838417,0.017044930789604076,0.999853621586468,0.005771636962890625,0.000732421875,0.00213623046875,0.0028228759765625,0.0037841796875,0.011331168934702873,0.033049244433641434,0.043672215193510056,0.058544375002384186,0.0,0.0,0.0,0.0,16.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.17.ff.fc1.weight.tensor,transformer_encoder.17.ff.fc1.weight,transformer_ffn,Transformer FFN,2,17.0,ff_fc1_weight,Feed-forward,4096x512,2097152,-2.1685345927835442e-06,0.07129102200269699,3.1033787308842875e-06,0.0712050274014473,5.271915142657235e-06,0.0010994595941156149,1831.6654052734375,1.5921995812014818,0.0060577392578125,103.24059335933468,103.1160507480528,0.015422224237512142,0.999878219731422,0.005074977874755859,0.000732421875,0.002166748046875,0.00286865234375,0.003753662109375,0.010273689404129982,0.030392996966838837,0.04023861512541771,0.05265265703201294,0.0,0.0,0.0,0.0,17.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.17.ff.fc2.weight.tensor,transformer_encoder.17.ff.fc2.weight,transformer_ffn,Transformer FFN,2,17.0,ff_fc2_weight,Feed-forward,512x2048,1048576,-1.5033847375889309e-05,0.06867311894893646,-1.4242881661630236e-05,0.0685715526342392,7.909591772659041e-07,0.001046407618559897,865.6930541992188,1.0715201032232822,0.00732421875,70.32134666568182,70.21734533530515,0.01523747985540484,0.9998826288330717,0.004970550537109375,0.00067901611328125,0.0020751953125,0.0028076171875,0.0037841796875,0.009887654334306717,0.030218448489904404,0.040883783251047134,0.05510422959923744,0.0,0.0,0.0,0.0,18.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.17.self_attn.out_proj.bias.tensor,transformer_encoder.17.self_attn.out_proj.bias,transformer_self_attn,Transformer self-attention,1,17.0,self_attn_out_proj_bias,Self-attention,512,512,-0.0052572558633983135,0.03579435124993324,-0.005288525018841028,0.035829171538352966,-3.126950468868017e-05,0.0005461995606310666,0.21506661176681519,0.012379321536412163,0.0020751953125,0.8186230655728276,0.8195055671209539,0.015122126479217478,0.9998864116725023,0.0078125,0.000335693359375,0.0011402128729969263,0.0014852145686745644,0.001966036856174469,0.009378386661410332,0.0318545363843441,0.041492972522974014,0.05492587760090828,0.0,0.0,0.0,0.0,19.0
Alpha,Alpha,Alpha,Alpha,base,,,0,transformer_encoder.2.self_attn.out_proj.weight.tensor,transformer_encoder.2.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,2.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-8.489452739013359e-05,0.05466361343860626,-8.631483069621027e-05,0.054628778249025345,-1.4203010323399212e-06,0.0007939978968352079,165.1934051513672,0.4065274794828375,0.005126953125,27.987814295214935,27.96997749575929,0.014525159956929072,0.9998940491496886,0.00568389892578125,0.00052642822265625,0.001556396484375,0.0020751953125,0.00274658203125,0.009630320593714714,0.028472252190113068,0.03796300292015076,0.05024515092372894,0.0,0.0,0.0,0.0,20.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.0.conv.weight.tensor,conv.0.conv.weight,conv,Convolution front-end,0,0.0,conv_weight,Conv,64x1x5,320,-0.001664625247940421,0.7632753252983093,-0.0009539734455756843,0.9275653958320618,0.0007106534903869033,0.16750681400299072,19.186019897460938,2.9964798301808515,1.0738325119018555,13.653916777224586,16.592803755683047,0.21945935946957798,0.9992455407665181,0.25,0.0025574725586920977,0.3048555850982666,0.8684595823287964,1.062187671661377,0.0033506553154438734,0.39940446615219116,1.1378064155578613,1.391618013381958,0.01875000074505806,0.0,0.0,0.0,1.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.3.conv.weight.tensor,conv.3.conv.weight,conv,Convolution front-end,0,3.0,conv_weight,Conv,128x128x9,147456,2.159507403121097e-06,0.045519500970840454,-2.6276202333974652e-05,0.046486031264066696,-2.8435677450033836e-05,0.002846656832844019,195.57003784179688,1.0931707210586752,0.1382230520248413,17.479488886643146,17.85063848128277,0.06254019943878067,0.9983058383119148,0.0067545571364462376,0.0005827572895213962,0.004959425888955593,0.011146617121994495,0.026264680549502373,0.012802362442016602,0.10895165055990219,0.24487559497356415,0.5769982933998108,0.00018310546875,5.425347262644209e-05,1.3563368156610522e-05,0.0,2.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.2.conv.bias.tensor,conv.2.conv.bias,conv,Convolution front-end,0,2.0,conv_bias,Conv,128,128,-0.23985695838928223,0.8994260430335999,-0.24586249887943268,0.9113568067550659,-0.006005553528666496,0.05230807512998581,4.357396125793457,0.5956859898838733,0.20865154266357422,10.53146805806331,10.679443892384375,0.05656248365371396,0.9985197790833292,0.0078125,0.01946467161178589,0.11207235604524612,0.19326387345790863,0.20697519183158875,0.021641213446855545,0.12460430711507797,0.21487466990947723,0.23011919856071472,0.0,0.0,0.0,0.0,3.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.2.conv.weight.tensor,conv.2.conv.weight,conv,Convolution front-end,0,2.0,conv_weight,Conv,128x64x9,73728,0.0019348718924447894,0.13461939990520477,0.0019267778843641281,0.1371057629585266,-8.094169970718212e-06,0.007110314443707466,278.19439697265625,1.9306578879674912,0.16851860284805298,36.55684384668964,37.23186691615799,0.05281248830079916,0.9987980559511501,0.02006022073328495,0.0018372666090726852,0.013876865617930889,0.027164451777935028,0.05927231162786484,0.013647858053445816,0.10308219492435455,0.20178702473640442,0.44029539823532104,0.00010850694525288418,0.0,0.0,0.0,4.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.1.conv.bias.tensor,conv.1.conv.bias,conv,Convolution front-end,0,1.0,conv_bias,Conv,64,64,-0.35623908042907715,3.126411199569702,-0.38817596435546875,3.0987725257873535,-0.03193691000342369,0.16154560446739197,5.896216869354248,1.3173779713037668,0.8121519088745117,25.173133406626448,24.983926717757583,0.052332697325511913,0.9986486950308687,0.015625,0.03899317979812622,0.34403902292251587,0.6065061092376709,0.7915874719619751,0.012472185306251049,0.11004279553890228,0.19399432837963104,0.2531936466693878,0.0,0.0,0.0,0.0,5.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.1.conv.weight.tensor,conv.1.conv.weight,conv,Convolution front-end,0,1.0,conv_weight,Conv,64x64x5,20480,-0.005043329205363989,0.2731286585330963,-0.005399509333074093,0.27148574590682983,-0.00035618047695606947,0.013412607833743095,96.94534301757812,1.9201328476007338,0.2529582977294922,39.093653202318215,38.859560338319575,0.04911622962590824,0.9988044540441181,0.08330078423023224,0.001423526555299759,0.018309559673070908,0.05248040705919266,0.19999444484710693,0.005211926996707916,0.06703639030456543,0.19214536249637604,0.7322352528572083,0.0,0.0,0.0,0.0,6.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.4.conv.weight.tensor,conv.4.conv.weight,conv,Convolution front-end,0,4.0,conv_weight,Conv,512x128x5,327680,0.0007904483936727047,0.04287688806653023,0.0007806044304743409,0.042699262499809265,-9.843946827459149e-06,0.002098207361996174,351.40850830078125,1.201097092200153,0.07000339031219482,24.54832830078825,24.446564615184176,0.048927856817098894,0.9988067348233998,0.02417907677590847,0.0005082385614514351,0.003980562556535006,0.008571954444050789,0.018998829647898674,0.011853436008095741,0.09283699840307236,0.19992010295391083,0.44310176372528076,1.831054760259576e-05,0.0,0.0,0.0,7.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.4.conv.bias.tensor,conv.4.conv.bias,conv,Convolution front-end,0,4.0,conv_bias,Conv,512,512,0.018486348912119865,0.1553741842508316,0.017933981493115425,0.1568865180015564,-0.0005523653235286474,0.007372357416898012,1.9925537109375,0.16728497097096423,0.07177245616912842,3.5405137074041804,3.5730552238682933,0.047248785005712154,0.9989358199490272,0.03125,0.0020886827260255814,0.01380911748856306,0.030619103461503983,0.060549695044755936,0.01344291865825653,0.08887652307748795,0.19706682860851288,0.38970234990119934,0.0,0.0,0.0,0.0,8.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.3.conv.bias.tensor,conv.3.conv.bias,conv,Convolution front-end,0,3.0,conv_bias,Conv,128,128,-0.27887842059135437,0.6861683130264282,-0.28558048605918884,0.7057634592056274,-0.006702061276882887,0.03372252732515335,2.5983550548553467,0.3889886724752194,0.17827963829040527,8.379785792997541,8.613725009827158,0.046419882570295085,0.9993308929922755,0.015625,0.00932338461279869,0.07254518568515778,0.13153357803821564,0.17289520800113678,0.013587606139481068,0.10572505742311478,0.19169287383556366,0.2519720196723938,0.0,0.0,0.0,0.0,9.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,crf.linear.weight.tensor,crf.linear.weight,crf,CRF head,5,,linear_weight,CRF,4096x512,2097152,-0.00031572766602039337,0.03356962278485298,-0.0003240227815695107,0.033457737416028976,-8.295084626297466e-06,0.001421682653017342,2399.781982421875,2.0588392657792527,0.00991058349609375,48.61623023021093,48.45432419509248,0.04234880524528645,0.999102758336187,0.013878345489501953,0.0009918212890625,0.0027313232421875,0.0036163330078125,0.00494384765625,0.029545191675424576,0.08136291056871414,0.1077263131737709,0.14727142453193665,0.0,0.0,0.0,0.0,10.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,conv.0.conv.bias.tensor,conv.0.conv.bias,conv,Convolution front-end,0,0.0,conv_bias,Conv,64,64,-0.34886807203292847,0.4828624725341797,-0.3483845591545105,0.48185664415359497,0.00048352713929489255,0.02446787618100643,0.8024343252182007,0.19578123113962434,0.13938817381858826,4.765644611255755,4.756856888137758,0.04108179419782512,0.9991562500431598,0.03125,0.0039045214653015137,0.04596823453903198,0.08920665830373764,0.13437005877494812,0.008086198009550571,0.09519943594932556,0.18474546074867249,0.27827808260917664,0.0,0.0,0.0,0.0,11.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,upsample.linear.bias.tensor,upsample.linear.bias,upsample,Upsample,4,,linear_bias,Upsample,1024,1024,0.0006987148080952466,0.0231142770498991,0.0007056955364532769,0.023210644721984863,6.980728358030319e-06,0.0006488197250291705,0.5165420770645142,0.020763434011106814,0.00264739990234375,0.73999470476885,0.7430838542869527,0.02805889539110225,0.999616716927849,0.009765625,0.000415802001953125,0.00125885009765625,0.0018410496413707733,0.0024219341576099396,0.017988961189985275,0.054461993277072906,0.07964985817670822,0.10478083789348602,0.0,0.0,0.0,0.0,12.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.0.self_attn.out_proj.weight.tensor,transformer_encoder.0.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,0.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-1.71788597072009e-05,0.029549462720751762,-1.9298488041386008e-05,0.029535416513681412,-2.1196303805481875e-06,0.0007912514847703278,161.87197875976562,0.40512203467818964,0.003951072692871094,15.129331866915267,15.122141670450382,0.026777258787222542,0.9996407321565166,0.013996124267578125,0.0004978179931640625,0.0015869140625,0.00212860107421875,0.002812866121530533,0.01684693433344364,0.053703635931015015,0.07203516364097595,0.09519175440073013,0.0,0.0,0.0,0.0,13.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.1.self_attn.out_proj.weight.tensor,transformer_encoder.1.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,1.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-6.949186354177073e-05,0.046070944517850876,-6.826244498370215e-05,0.046045441180467606,1.2294058251427487e-06,0.0008467155275866389,176.17933654785156,0.43351870394266606,0.004364013671875,23.588355654028483,23.575298041262915,0.018378504644456225,0.9998306912338792,0.009059906005859375,0.0005626678466796875,0.001667022705078125,0.0022125244140625,0.00286865234375,0.012213070876896381,0.036183811724185944,0.04802427813410759,0.06226596236228943,0.0,0.0,0.0,0.0,14.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.17.norm2.weight.tensor,transformer_encoder.17.norm2.weight,transformer_norm_deepnorm,Transformer norm/deepnorm,3,17.0,norm2_weight,Norm/deepnorm,512,512,0.24103976786136627,0.018107499927282333,0.2450510412454605,0.018486130982637405,0.004011270124465227,0.0008509784238412976,2.0537703037261963,0.09278469519323361,0.0078125,5.469475223955573,5.5606267968220235,0.016964094614933447,0.99999514297263,0.0,0.0040283203125,0.00537109375,0.0060766637325286865,0.007562994956970215,0.222466841340065,0.29662245512008667,0.3355880677700043,0.41767174005508423,0.0,0.0,0.0,0.0,15.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,upsample.linear.weight.tensor,upsample.linear.weight,upsample,Upsample,4,,linear_weight,Upsample,1024x512,524288,2.0732361008413136e-05,0.06463779509067535,1.9627106667030603e-05,0.06463336944580078,-1.1052629815822002e-06,0.001069805584847927,445.4379577636719,0.7746219235787422,0.0068359375,46.802790736270474,46.799585167766175,0.01655076356330225,0.9998619568279963,0.005615234375,0.00072479248046875,0.00208282470703125,0.0028076171875,0.0037841796875,0.011213135905563831,0.032223012298345566,0.04343614727258682,0.058544375002384186,0.0,0.0,0.0,0.0,16.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.2.self_attn.out_proj.weight.tensor,transformer_encoder.2.self_attn.out_proj.weight,transformer_self_attn,Transformer self-attention,1,2.0,self_attn_out_proj_weight,Self-attention,512x512,262144,-8.489452739013359e-05,0.05466361343860626,-8.666727808304131e-05,0.054626334458589554,-1.7727709291648353e-06,0.0008500901749357581,176.7682342529297,0.43524707003970675,0.005126953125,27.987814295214935,27.968728177365787,0.015551306202360548,0.999878440506768,0.00615692138671875,0.0005645751953125,0.001674652099609375,0.002227783203125,0.0029296204447746277,0.010328169912099838,0.030635584145784378,0.040754400193691254,0.053593602031469345,0.0,0.0,0.0,0.0,17.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.17.ff.fc1.weight.tensor,transformer_encoder.17.ff.fc1.weight,transformer_ffn,Transformer FFN,2,17.0,ff_fc1_weight,Feed-forward,4096x512,2097152,-2.1685345927835442e-06,0.07129102200269699,3.0171449907356873e-06,0.07120344042778015,5.185670488572214e-06,0.0011018404038622975,1835.873779296875,1.5956465712275967,0.0089111328125,103.24059335933468,103.11375885702644,0.01545561217062986,0.9998777854115622,0.0050182342529296875,0.000732421875,0.002166748046875,0.00286865234375,0.0037841796875,0.010273689404129982,0.030392996966838837,0.04023861512541771,0.0530807264149189,0.0,0.0,0.0,0.0,18.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.16.self_attn.Wqkv.weight.tensor,transformer_encoder.16.self_attn.Wqkv.weight,transformer_self_attn,Transformer self-attention,1,16.0,self_attn_Wqkv_weight,Self-attention,1536x512,786432,-6.306452269200236e-05,0.06916620582342148,-6.221784133231267e-05,0.06918641924858093,8.466833492093429e-07,0.0010578199289739132,647.57666015625,0.9380848331988966,0.011962890625,61.33735798332856,61.35528857031702,0.015293857838706583,0.9998814227073656,0.0050824484787881374,0.00067138671875,0.0020751953125,0.0029296875,0.00439453125,0.009706859476864338,0.0300030205398798,0.04235720634460449,0.06353580951690674,0.0,0.0,0.0,0.0,19.0
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,transformer_encoder.16.ff.fc1.weight.tensor,transformer_encoder.16.ff.fc1.weight,transformer_ffn,Transformer FFN,2,16.0,ff_fc1_weight,Feed-forward,4096x512,2097152,-0.0005580946453846991,0.0698450431227684,-0.0005510439514182508,0.06978227198123932,7.050718522805255e-06,0.0010560082737356424,1755.304931640625,1.529291106660178,0.00775146484375,101.14981057662689,101.05883284162994,0.015119070396099612,0.9998827062285898,0.004961967468261719,0.000701904296875,0.0020751953125,0.0027923583984375,0.00372314453125,0.010049449279904366,0.029711415991187096,0.03997933119535446,0.05330577492713928,0.0,0.0,0.0,0.0,20.0
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,conv.0.conv.weight.tensor,conv.0.conv.weight,conv,Convolution front-end,0,0.0,conv_weight,Conv,64x1x5,320,-0.001664625247940421,0.7632753252983093,-0.0020992234349250793,0.928895115852356,-0.00043459879816509783,0.16810813546180725,19.29120445251465,3.007219687167402,1.1010456085205078,13.653916777224586,16.616623682842057,0.2202459364761454,0.9994143127459376,0.2906250059604645,0.002921687439084053,0.3024228811264038,0.8982598185539246,1.071748971939087,0.0038278289139270782,0.3962172567844391,1.1768490076065063,1.4041446447372437,0.01875000074505806,0.0,0.0,0.0,1.0
