name,display_name,base_model,family,variant,seed_index,seed_label,sort_order,component,component_label,component_order,numel,delta_l1_sum,delta_l2_norm,baseline_l2_norm,tuned_l2_norm,relative_l2,cosine_similarity,sign_flip_fraction,tail_abs_delta_z_gt_1p0_count,tail_abs_delta_z_gt_1p0_fraction,tail_abs_delta_z_gt_2p0_count,tail_abs_delta_z_gt_2p0_fraction,tail_abs_delta_z_gt_3p0_count,tail_abs_delta_z_gt_3p0_fraction,tail_abs_delta_z_gt_5p0_count,tail_abs_delta_z_gt_5p0_fraction,p999_abs_delta_z_approx,conv_delta_energy_share,transformer_self_attn_delta_energy_share,transformer_ffn_delta_energy_share,transformer_norm_deepnorm_delta_energy_share,upsample_delta_energy_share,crf_delta_energy_share,conv_crf_delta_energy_share
Alpha,Alpha,Alpha,Alpha,base,,,0,all,All tensors,-1,78718162,53991.64220559597,9.009783488147603,616.5796140774503,616.1076725769157,0.014612522507135378,0.9998909028209045,0.00465334797832297,150,1.9055322963460452e-06,8,1.0162838913845575e-07,2,2.5407097284613938e-08,0,0.0,0.09077437643071747,0.2867276734701801,0.1574181256345347,0.5067149743278833,0.00033524306864011116,0.007845553973077053,0.040958429525684854,0.3276861029958649
AlphaQCH,AlphaQCH,AlphaQCH,Alpha,QCH,,,1,all,All tensors,-1,78718162,57474.375445604324,9.34815638903511,616.5796140774503,616.1634937768588,0.015161312790112529,0.9998827140856068,0.004956911976679537,47,5.970667861884275e-07,8,1.0162838913845575e-07,2,2.5407097284613938e-08,0,0.0,0.09699206711489361,0.24418506324086373,0.1673903579292447,0.5327477813571679,0.00029976832199615723,0.006871310170170283,0.04850571898055721,0.2926907822214209
AlphaQCL,AlphaQCL,AlphaQCL,Alpha,QCL,,,2,all,All tensors,-1,78718162,52735.59856289625,8.709891467853678,616.5796140774503,616.1911775536512,0.014126142462374031,0.9998978158357879,0.004548746958802214,64,8.13027113107646e-07,8,1.0162838913845575e-07,2,2.5407097284613938e-08,0,0.0,0.07998172882083694,0.27276749715207393,0.1635649810899041,0.5211001199610205,0.0003371978106768071,0.006907273097440465,0.035322930888884246,0.3080904280409582
Gamma,Gamma,Gamma,Gamma,base,,,3,all,All tensors,-1,78718162,51461.415444135666,8.30904075760307,616.5796140774503,616.1898452419805,0.013476022508521234,0.9999067868979596,0.004426818298933352,50,6.351774321153485e-07,7,8.892484049614878e-08,0,0.0,0,0.0,0.07183799164346337,0.24166492214898316,0.17344710426751095,0.548278212960496,0.00035981400210845184,0.006484028528929241,0.029765918091972304,0.2714308402409555
GammaQCH,GammaQCH,GammaQCH,Gamma,QCH,,,4,all,All tensors,-1,78718162,51969.855908989906,8.6330007695896,616.5796140774503,616.2703096969215,0.014001437239384905,0.9998995054505566,0.004482904466189137,41,5.208454943345857e-07,7,8.892484049614878e-08,0,0.0,0,0.0,0.07328351522530883,0.28356666860822943,0.16364162529042287,0.5175015654157918,0.00032941232676951765,0.005862393744276135,0.029098334614510158,0.3126650032227396
GammaQCL,GammaQCL,GammaQCL,Gamma,QCL,,,5,all,All tensors,-1,78718162,51595.82861942053,8.496950068913563,616.5796140774503,616.2153695478216,0.013780783332622839,0.9999026250112708,0.004431099394825809,47,5.970667861884275e-07,7,8.892484049614878e-08,0,0.0,0,0.0,0.07218238858286448,0.27183149808617296,0.1665279421248457,0.5272558308694736,0.0003401451771773639,0.006143873184528489,0.0279007105578019,0.2997322086439749
Beta,Beta,Beta,Beta,base,,,6,all,All tensors,-1,78718162,51267.64530989528,8.160609320630199,616.5796140774503,616.1673832895191,0.013235288897509849,0.9999100187540028,0.00441210758960556,46,5.843632375461206e-07,3,3.8110645926920905e-08,0,0.0,0,0.0,0.07099908854768198,0.21875853727202063,0.17903538063034152,0.5653714651908043,0.0003710534143838298,0.006531332093354655,0.02993223139909511,0.24869076867111575
BetaQCH,BetaQCH,BetaQCH,Beta,QCH,,,7,all,All tensors,-1,78718162,53354.65962225199,8.71501145911543,616.5796140774503,616.2621110131086,0.014134446323132408,0.9998976454858212,0.004593031529369296,79,1.0035803427422506e-06,4,5.0814194569227875e-08,0,0.0,0,0.0,0.07414359033730389,0.26248266324944985,0.16854757752076202,0.5329207950004025,0.0003202778122535616,0.006004107091945775,0.029724579325186337,0.2922072425746362
BetaQCL,BetaQCL,BetaQCL,Beta,QCL,,,8,all,All tensors,-1,78718162,51205.48687213659,8.346157288210083,616.5796140774503,616.1897641090388,0.013536219974930415,0.9999059537865645,0.004392366275015415,64,8.13027113107646e-07,6,7.622129185384181e-08,0,0.0,0,0.0,0.0702858408433559,0.25739367013695513,0.1710205284514592,0.5396247562536994,0.0003481179860618688,0.005907089062433953,0.025705838109390398,0.28309950824634555
