chunks,time,grad_norm,lr,scale,loss
20,23.02021426099236,nan,1.0000000000000002e-06,65536.0,0.4876820743083954
40,23.12160327800666,nan,1.018e-06,32768.0,0.49949121475219727
60,23.2465880579839,6.340997219085693,1.0360000000000001e-06,16384.0,0.4816095530986786
80,23.348886200983543,3.8313920497894287,1.0540000000000002e-06,16384.0,0.40746161341667175
100,23.453160167991882,8.00617790222168,1.072e-06,16384.0,0.4220743775367737
120,23.55747915498796,6.9950456619262695,1.0900000000000002e-06,16384.0,0.4960443079471588
140,23.66075087399804,inf,1.1080000000000002e-06,16384.0,0.4732727110385895
160,23.76160336699104,25.710227966308594,1.126e-06,8192.0,0.484235018491745
180,23.86499094698229,inf,1.1440000000000002e-06,8192.0,0.44819045066833496
200,23.965812398993876,4.9274210929870605,1.162e-06,4096.0,0.422511488199234
220,24.069916374981403,11.572875022888184,1.1800000000000001e-06,4096.0,0.47597536444664
240,24.174103400990134,17.277284622192383,1.1980000000000002e-06,4096.0,0.49593791365623474
260,24.278297766984906,4.570465087890625,1.2160000000000003e-06,4096.0,0.43472549319267273
280,24.3827665449935,5.3152337074279785,1.2340000000000002e-06,4096.0,0.43835869431495667
300,24.487128812004812,6.9966959953308105,1.2520000000000003e-06,4096.0,0.47013625502586365
320,24.591325126995798,12.568879127502441,1.2700000000000001e-06,4096.0,0.3277680575847626
340,24.69549018298858,6.306419849395752,1.288e-06,4096.0,0.4102421700954437
360,24.799740098998882,7.039406776428223,1.306e-06,4096.0,0.3792646527290344
380,24.904013566003414,7.688121318817139,1.3240000000000004e-06,4096.0,0.46295076608657837
400,25.008172101981472,4.827091217041016,1.3420000000000002e-06,4096.0,0.3805631995201111
420,25.112589839001885,4.562892913818359,1.3600000000000001e-06,4096.0,0.38908740878105164
440,25.215877209004248,inf,1.3780000000000002e-06,4096.0,0.6952037215232849
460,25.31673108099494,4.082271575927734,1.396e-06,2048.0,0.33773818612098694
480,25.420869966997998,10.43529987335205,1.4140000000000001e-06,2048.0,0.37354370951652527
500,25.52498958198703,21.90553855895996,1.432e-06,2048.0,0.36553946137428284
520,25.62894754600711,34.02995300292969,1.4500000000000003e-06,2048.0,0.4206288456916809
540,25.73342919399147,5.129711151123047,1.4680000000000002e-06,2048.0,0.487431138753891
560,25.837522038986208,7.377435207366943,1.4860000000000003e-06,2048.0,0.32491326332092285
580,25.941795275983168,15.782735824584961,1.5040000000000001e-06,2048.0,0.3790195882320404
600,26.046028471988393,5.226268291473389,1.5220000000000002e-06,2048.0,0.3411330580711365
620,26.15027656799066,3.1921603679656982,1.5400000000000003e-06,2048.0,0.3577326834201813
640,26.254416523996042,15.223151206970215,1.5580000000000002e-06,2048.0,0.33953967690467834
660,26.3577835939941,inf,1.5760000000000002e-06,2048.0,0.555988609790802
680,26.458927067986224,8.281224250793457,1.5940000000000003e-06,1024.0,0.3108673691749573
700,26.563295415980974,4.729909896850586,1.6120000000000002e-06,1024.0,0.2989979684352875
720,26.66745130100753,5.437317371368408,1.6300000000000003e-06,1024.0,0.36832940578460693
740,26.77175977799925,8.22996997833252,1.6480000000000001e-06,1024.0,0.3002772927284241
760,26.876202724990435,5.871031284332275,1.666e-06,1024.0,0.3347107768058777
780,26.980306819983525,2.638551950454712,1.684e-06,1024.0,0.2795029282569885
800,27.08455298698391,45.62260818481445,1.7020000000000004e-06,1024.0,0.34571823477745056
820,27.188797502982197,5.147333145141602,1.7200000000000003e-06,1024.0,0.3613499402999878
840,27.29291007798747,6.738627910614014,1.7380000000000003e-06,1024.0,0.262041300535202
860,27.397007232997566,180.8301239013672,1.7560000000000002e-06,1024.0,0.38018378615379333
880,27.501399150991347,4.615485668182373,1.774e-06,1024.0,0.3275979161262512
900,27.605653056991287,14.550617218017578,1.7920000000000004e-06,1024.0,0.3428274989128113
920,27.709854393004207,6.211961269378662,1.81e-06,1024.0,0.3094520568847656
940,27.813931568001863,72.98528289794922,1.8280000000000001e-06,1024.0,0.39113569259643555
960,27.91803918298683,3.7256717681884766,1.846e-06,1024.0,0.2944762110710144
980,28.02215953799896,2.8647427558898926,1.8640000000000003e-06,1024.0,0.28468331694602966
1000,28.126480025006458,2.321594715118408,1.8820000000000001e-06,1024.0,0.2680898904800415
1020,28.230666540999664,63.964168548583984,1.9000000000000002e-06,1024.0,0.3206808269023895
1040,28.335202568996465,2.156085968017578,1.9180000000000005e-06,1024.0,0.22181148827075958
1060,28.43967051600339,6.212194442749023,1.936e-06,1024.0,0.2725382447242737
1080,28.543921092001256,2.694976806640625,1.9540000000000003e-06,1024.0,0.28179284930229187
1100,28.64802373800194,3.039156436920166,1.972e-06,1024.0,0.26731380820274353
1120,28.752309373987373,3.4142191410064697,1.9900000000000004e-06,1024.0,0.24048052728176117
1140,28.85654716999852,3.9044289588928223,2.008e-06,1024.0,0.2619968354701996
1160,28.960762685979716,5.954607009887695,2.026e-06,1024.0,0.22739525139331818
1180,29.064835350989597,4.597169399261475,2.0440000000000003e-06,1024.0,0.24342253804206848
1200,29.16880057498929,3.752695322036743,2.062e-06,1024.0,0.2524615228176117
1220,29.27309056199738,3.6149163246154785,2.0800000000000004e-06,1024.0,0.2231701910495758
1240,29.377345377986785,2.6535544395446777,2.098e-06,1024.0,0.25559738278388977
1260,29.481573953991756,2.868655204772949,2.116e-06,1024.0,0.19724427163600922
1280,29.58567280898569,2.801722526550293,2.1340000000000002e-06,1024.0,0.24612753093242645
1300,29.689932404988213,3.338911771774292,2.1520000000000003e-06,1024.0,0.2506793439388275
1320,29.79428738198476,2.0086891651153564,2.1700000000000004e-06,1024.0,0.3024033308029175
1340,29.898337836988503,4.154564380645752,2.188e-06,1024.0,0.2211778610944748
1360,30.002610542986076,3.6760666370391846,2.2060000000000006e-06,1024.0,0.20853291451931
1380,30.106870108982548,5.416355609893799,2.2240000000000002e-06,1024.0,0.20575909316539764
1400,30.211225135979475,4.257175445556641,2.2420000000000003e-06,1024.0,0.20036159455776215
1420,30.315481681987876,4.076562881469727,2.2600000000000004e-06,1024.0,0.21254606544971466
1440,30.419667417998426,3.7249155044555664,2.278e-06,1024.0,0.18870849907398224
1460,30.524076904985122,3.001213550567627,2.296e-06,1024.0,0.21478934586048126
1480,30.62825519099715,5.096275806427002,2.314e-06,1024.0,0.16810674965381622
1500,30.732457445992623,3.0775389671325684,2.3320000000000003e-06,1024.0,0.20616011321544647
1520,30.836811702989507,2.3029541969299316,2.3500000000000004e-06,1024.0,0.2038072645664215
1540,30.94082469798741,4.719522476196289,2.3680000000000005e-06,1024.0,0.2173718512058258
1560,31.045074583991664,2.697617769241333,2.386e-06,1024.0,0.190921813249588
1580,31.149411199992755,3.647991895675659,2.404e-06,1024.0,0.1536514163017273
1600,31.253622185991844,1.6732149124145508,2.4220000000000003e-06,1024.0,0.16094651818275452
1620,31.357793651986867,2.569106101989746,2.4400000000000004e-06,1024.0,0.17934881150722504
1640,31.46211181799299,2.8632569313049316,2.4580000000000004e-06,1024.0,0.16147463023662567
1660,31.566379483992932,13.214832305908203,2.4760000000000005e-06,1024.0,0.20265769958496094
1680,31.670498669001972,8.187232971191406,2.494e-06,1024.0,0.24758151173591614
1700,31.774497993988916,4.514858722686768,2.512e-06,1024.0,0.1899426281452179
1720,31.87875949998852,3.249343156814575,2.5300000000000003e-06,1024.0,0.16791310906410217
1740,31.98291836498538,2.5376224517822266,2.5480000000000004e-06,1024.0,0.163305401802063
1760,32.08707868098281,17.3709716796875,2.566e-06,1024.0,0.13199588656425476
1780,32.191554057993926,2.458491086959839,2.5840000000000006e-06,1024.0,0.10202145576477051
1800,32.29587455498404,2.072948455810547,2.6020000000000002e-06,1024.0,0.13958607614040375
1820,32.40036042200518,1.4969598054885864,2.6200000000000003e-06,1024.0,0.14386656880378723
1840,32.50468611900578,1.723419427871704,2.6380000000000004e-06,1024.0,0.1433728188276291
1860,32.60888895500102,1.658509373664856,2.6559999999999996e-06,1024.0,0.1374567598104477
1880,32.71316685099737,1.330739140510559,2.6739999999999997e-06,1024.0,0.1139683723449707
1900,32.817318226007046,2.003774404525757,2.6920000000000002e-06,1024.0,0.11887645721435547
1920,32.921676142985234,1.2543715238571167,2.7100000000000003e-06,1024.0,0.11905620247125626
1940,33.025740027980646,2.305389165878296,2.728000000000001e-06,1024.0,0.17115387320518494
1960,33.13006600399967,1.5702544450759888,2.7459999999999996e-06,1024.0,0.1511213630437851
1980,33.23445852097939,1.009833812713623,2.764e-06,1024.0,0.13107064366340637
2000,33.33853878598893,2.1744837760925293,2.7820000000000002e-06,1024.0,0.18444573879241943
2020,33.4427799420082,2.5232956409454346,2.8000000000000003e-06,1024.0,0.15047518908977509
2040,33.54697649800801,1.3671507835388184,2.8180000000000004e-06,1024.0,0.11229579895734787
2060,33.65123370400397,1.7769984006881714,2.8360000000000005e-06,1024.0,0.08336345106363297
2080,33.755438998981845,2.51910662651062,2.854e-06,1024.0,0.11137785017490387
2100,33.85952171398094,1.6404343843460083,2.872e-06,1024.0,0.09909045696258545
2120,33.96381302998634,1.8028379678726196,2.8900000000000007e-06,1024.0,0.12584881484508514
2140,34.06794985500164,2.7882556915283203,2.9079999999999995e-06,1024.0,0.13656221330165863
2160,34.17231405200437,4.508983612060547,2.926e-06,1024.0,0.12313666194677353
2180,34.27654170800815,2.2870521545410156,2.944e-06,1024.0,0.14451059699058533
2200,34.3807610340009,1.5498876571655273,2.9620000000000006e-06,1024.0,0.12922711670398712
2220,34.48517402098514,1.561979055404663,2.9800000000000003e-06,1024.0,0.1110590249300003
2240,34.589344085979974,2.157966136932373,2.9980000000000003e-06,1024.0,0.09638482332229614
2260,34.693420990981394,2.4610440731048584,3.016e-06,1024.0,0.13752403855323792
2280,34.79773120698519,1.318108320236206,3.034e-06,1024.0,0.08662530034780502
2300,34.90205310398596,1.426716685295105,3.0520000000000006e-06,1024.0,0.1032826229929924
2320,35.00624732900178,3.9997763633728027,3.0700000000000003e-06,1024.0,0.11440379917621613
2340,35.11051704498823,1.5444061756134033,3.0880000000000003e-06,1024.0,0.14045274257659912
2360,35.214901961997384,1.850216269493103,3.106e-06,1024.0,0.12613971531391144
2380,35.31897695700172,2.75400710105896,3.1240000000000005e-06,1024.0,0.16899755597114563
2400,35.42297769099241,2.524693012237549,3.1420000000000006e-06,1024.0,0.15471886098384857
2420,35.527277797984425,1.652743935585022,3.1600000000000007e-06,1024.0,0.1165698990225792
2440,35.63165464400663,0.971788763999939,3.178e-06,1024.0,0.13082461059093475
2460,35.73630185300135,1.2177479267120361,3.1960000000000004e-06,1024.0,0.14358988404273987
2480,35.84072658000514,1.7157807350158691,3.2140000000000005e-06,1024.0,0.11976424604654312
2500,35.94498049598769,2.1084842681884766,3.232e-06,1024.0,0.10382705926895142
2520,36.04919520198018,1.5896494388580322,3.2500000000000002e-06,1024.0,0.1292884349822998
2540,36.153586187982,6.94704532623291,3.268e-06,1024.0,0.1362403929233551
2560,36.25786649499787,0.875896692276001,3.2860000000000004e-06,1024.0,0.11413843929767609
2580,36.36213386099553,1.2495208978652954,3.3040000000000005e-06,1024.0,0.10565483570098877
