chunks,time,grad_norm,lr,scale,loss
45,16.02920955303125,inf,1.4e-07,65536.0,0.4902166724205017
90,16.271443137025926,3.5914459228515625,1.4252e-07,32768.0,0.46475750207901
135,16.490277288015932,4.807384014129639,1.4504e-07,32768.0,0.5431596040725708
180,16.71104218804976,5.1792378425598145,1.4756e-07,32768.0,0.49807798862457275
225,16.930840378045104,inf,1.5008e-07,32768.0,0.4783330261707306
270,17.148020765045658,6.558635234832764,1.526e-07,16384.0,0.47139859199523926
315,17.368669543007854,5.23084831237793,1.5512e-07,16384.0,0.5358397960662842
360,17.588449244038202,inf,1.5764e-07,16384.0,0.5090771913528442
405,17.80570892203832,4.418119430541992,1.6016e-07,8192.0,0.4987526834011078
450,18.02643677103333,4.319438457489014,1.6268e-07,8192.0,0.530932605266571
495,18.24700599903008,6.475214958190918,1.652e-07,8192.0,0.5063630938529968
540,18.46758600702742,3.3330538272857666,1.6772e-07,8192.0,0.4898279905319214
585,18.687959563045297,8.349991798400879,1.7024000000000002e-07,8192.0,0.49247074127197266
630,18.908401200023945,8.020562171936035,1.7276e-07,8192.0,0.5069795250892639
675,19.12921142001869,8.764707565307617,1.7528e-07,8192.0,0.5070303082466125
720,19.349798379000276,4.591667652130127,1.778e-07,8192.0,0.5108469724655151
765,19.57096163200913,6.801974773406982,1.8032e-07,8192.0,0.5070949196815491
810,19.79157646105159,7.190341472625732,1.8284e-07,8192.0,0.48024266958236694
855,20.011736535001546,5.142801284790039,1.8536000000000001e-07,8192.0,0.41975632309913635
900,20.23211054201238,4.726334571838379,1.8788e-07,8192.0,0.44566553831100464
945,20.451473509019706,inf,1.904e-07,8192.0,0.5643007755279541
990,20.668700248003006,5.0192670822143555,1.9292e-07,4096.0,0.48588496446609497
1035,20.889026314020157,8.111457824707031,1.9543999999999998e-07,4096.0,0.47578173875808716
1080,21.109619573049713,6.546292304992676,1.9795999999999998e-07,4096.0,0.5045291781425476
1125,21.33031283301534,6.367098331451416,2.0047999999999998e-07,4096.0,0.4497109353542328
1170,21.550613729050383,9.417990684509277,2.03e-07,4096.0,0.4816221594810486
1215,21.771396820025984,5.245893478393555,2.0552e-07,4096.0,0.5479932427406311
1260,21.992223541019484,5.4539008140563965,2.0804e-07,4096.0,0.5583353638648987
1305,22.212540228036232,inf,2.1056e-07,4096.0,0.5253053307533264
1350,22.43002350802999,8.426892280578613,2.1308e-07,2048.0,0.49556615948677063
1395,22.650515697023366,7.003477573394775,2.156e-07,2048.0,0.49162396788597107
