chunks,time,grad_norm,lr,scale,loss
45,16.214128579944372,4.451423645019531,2e-05,65536.0,0.4438243508338928
90,16.431985545961652,inf,2.036e-05,65536.0,0.3567974269390106
135,16.64872590097366,nan,2.0720000000000005e-05,32768.0,0.3882761001586914
180,16.866449686000124,4.649753093719482,2.108e-05,16384.0,0.39013028144836426
225,17.087178129993845,5.56328010559082,2.144e-05,16384.0,0.28199344873428345
270,17.308061986987013,2.817823886871338,2.1800000000000005e-05,16384.0,0.25697091221809387
315,17.529013113991823,4.104506492614746,2.2160000000000005e-05,16384.0,0.20112007856369019
360,17.749983250978403,2.287001371383667,2.252e-05,16384.0,0.1467706263065338
405,17.970655464974698,2.594606637954712,2.288e-05,16384.0,0.15470491349697113
450,18.191172417951748,3.802539825439453,2.3240000000000004e-05,16384.0,0.13491936028003693
495,18.41179962194292,3.761066436767578,2.36e-05,16384.0,0.1469951719045639
540,18.632812648953404,2.2165122032165527,2.396e-05,16384.0,0.11524229496717453
585,18.85363647498889,1.833079218864441,2.4320000000000004e-05,16384.0,0.10491589456796646
630,19.074251948972233,1.2819169759750366,2.4680000000000004e-05,16384.0,0.10591273754835129
675,19.294992582988925,0.8512042760848999,2.504e-05,16384.0,0.09699904173612595
720,19.51553822599817,0.6328085064888,2.54e-05,16384.0,0.10126550495624542
765,19.736770425981376,0.5778499841690063,2.576e-05,16384.0,0.0978567972779274
810,19.957612701982725,0.5414000153541565,2.612e-05,16384.0,0.09005580842494965
855,20.178337255958468,0.7893386483192444,2.6480000000000004e-05,16384.0,0.08059659600257874
900,20.39902184996754,0.8014336228370667,2.6840000000000004e-05,16384.0,0.08303724974393845
945,20.619683253986295,0.45012378692626953,2.7200000000000004e-05,16384.0,0.07485372573137283
990,20.84043160895817,0.4627093970775604,2.7560000000000004e-05,16384.0,0.0786268338561058
1035,21.061186603968963,0.36559322476387024,2.792e-05,16384.0,0.06649447977542877
1080,21.281999178987462,0.4665267765522003,2.828e-05,16384.0,0.07230272144079208
1125,21.50294346595183,0.6042041182518005,2.864e-05,16384.0,0.06018367037177086
1170,21.723508128954563,0.5246503353118896,2.9000000000000004e-05,16384.0,0.06624496728181839
1215,21.943817548977677,inf,2.9360000000000003e-05,16384.0,0.06410714238882065
1260,22.161294880963396,0.47260820865631104,2.9720000000000003e-05,8192.0,0.06748552620410919
1305,22.381947883986868,0.3150259554386139,3.0080000000000003e-05,8192.0,0.06331456452608109
1350,22.602471856982447,0.3142114281654358,3.0440000000000003e-05,8192.0,0.06152154132723808
1395,22.82312680996256,0.40692034363746643,3.08e-05,8192.0,0.0614609532058239
1440,23.04379612399498,0.32833898067474365,3.116e-05,8192.0,0.06022654101252556
1485,23.264386966999155,0.2344469130039215,3.152e-05,8192.0,0.055431779474020004
1530,23.48495102894958,0.7480852603912354,3.188e-05,8192.0,0.05557849630713463
1575,23.705708933994174,0.31445103883743286,3.224e-05,8192.0,0.054327938705682755
1620,23.92637595697306,0.617975652217865,3.26e-05,8192.0,0.054210029542446136
1665,24.14708681195043,0.5453341007232666,3.296e-05,8192.0,0.04521710053086281
1710,24.367777365958318,0.27147531509399414,3.332e-05,8192.0,0.04610884189605713
1755,24.588521069963463,0.205794557929039,3.368e-05,8192.0,0.04665157571434975
1800,24.809451305947732,0.2818150222301483,3.4040000000000006e-05,8192.0,0.04362017288804054
1845,25.030051228997763,0.6133332252502441,3.44e-05,8192.0,0.045494601130485535
1890,25.250683931983076,0.26392579078674316,3.4760000000000006e-05,8192.0,0.04696691408753395
1935,25.47137862595264,0.17237761616706848,3.512e-05,8192.0,0.04507919028401375
1980,25.692105889960658,0.2186681032180786,3.548e-05,8192.0,0.038698889315128326
2025,25.913034955970943,0.20353466272354126,3.584000000000001e-05,8192.0,0.035188812762498856
2070,26.133775739988778,0.644508957862854,3.62e-05,8192.0,0.03442336618900299
2115,26.35452524397988,0.28823670744895935,3.656e-05,8192.0,0.04118383675813675
2160,26.575220287952106,0.4695684015750885,3.6920000000000006e-05,8192.0,0.036314819008111954
2205,26.79612241394352,0.49483975768089294,3.728e-05,8192.0,0.03622649982571602
2250,27.0169745789608,0.16820338368415833,3.764e-05,8192.0,0.02948720194399357
2295,27.237643111962825,0.29773175716400146,3.8e-05,8192.0,0.03441666439175606
2340,27.458297694975045,0.19987663626670837,3.836e-05,8192.0,0.030118126422166824
2385,27.679002378950827,0.3218957185745239,3.872000000000001e-05,8192.0,0.033139362931251526
2430,27.89984246395761,0.42934492230415344,3.9080000000000005e-05,8192.0,0.03484643995761871
2475,28.12072678998811,0.24752601981163025,3.944e-05,8192.0,0.03178316354751587
2520,28.34164947498357,0.40743815898895264,3.9800000000000005e-05,8192.0,0.030379392206668854
2565,28.562584040977526,0.29674315452575684,4.016e-05,8192.0,0.027050448581576347
2610,28.783598797977902,0.2890610694885254,4.0520000000000005e-05,8192.0,0.026847410947084427
2639,53.333236125996336,0.7653845548629761,4.088000000000001e-05,8192.0,0.02506977505981922
