chunks,time,grad_norm,lr,scale,loss
40,16.078690779977478,inf,2e-05,65536.0,0.4482787251472473
80,16.29809125198517,6.597898960113525,2.036e-05,32768.0,0.46164971590042114
120,16.4928897729842,3.2466580867767334,2.0720000000000005e-05,32768.0,0.32238325476646423
160,16.688259108981583,inf,2.108e-05,32768.0,0.24296943843364716
200,16.881993258954026,3.670466661453247,2.144e-05,16384.0,0.2823583781719208
240,17.07851047697477,2.490781545639038,2.1800000000000005e-05,16384.0,0.20683899521827698
280,17.275170826003887,2.7786452770233154,2.2160000000000005e-05,16384.0,0.15933117270469666
320,17.471632123983,2.2336740493774414,2.252e-05,16384.0,0.13085250556468964
360,17.66836924297968,5.709574222564697,2.288e-05,16384.0,0.10582269728183746
400,17.865165393974166,2.1088948249816895,2.3240000000000004e-05,16384.0,0.09165330976247787
440,18.06164542096667,2.496680736541748,2.36e-05,16384.0,0.10446957498788834
480,18.25824067898793,2.6427969932556152,2.396e-05,16384.0,0.08687462657690048
520,18.454684466007166,1.5846291780471802,2.4320000000000004e-05,16384.0,0.061691462993621826
560,18.65121233399259,1.0213615894317627,2.4680000000000004e-05,16384.0,0.05050541087985039
600,18.84775550098857,0.6151078939437866,2.504e-05,16384.0,0.05430495738983154
640,19.0439865149674,0.7385795712471008,2.54e-05,16384.0,0.047078341245651245
680,19.240505032008514,0.6672216653823853,2.576e-05,16384.0,0.05096570402383804
720,19.43708532996243,0.658987283706665,2.612e-05,16384.0,0.041433580219745636
760,19.633557625988033,0.497609406709671,2.6480000000000004e-05,16384.0,0.04160076007246971
800,19.829902840952855,0.44749051332473755,2.6840000000000004e-05,16384.0,0.04384410381317139
840,20.02640051796334,0.6102222204208374,2.7200000000000004e-05,16384.0,0.038052748888731
880,20.22299248498166,0.4478549063205719,2.7560000000000004e-05,16384.0,0.03333386778831482
920,20.419308879005257,0.36041757464408875,2.792e-05,16384.0,0.03016338124871254
960,20.61595925700385,0.43690332770347595,2.8280000000000007e-05,16384.0,0.03201183304190636
1000,20.812522054009605,0.3451298773288727,2.864e-05,16384.0,0.02521399036049843
1040,21.009180650988128,0.49721992015838623,2.9000000000000004e-05,16384.0,0.02635633945465088
1080,21.205775487993378,0.4839451014995575,2.9360000000000003e-05,16384.0,0.026711804792284966
1120,21.402302025002427,0.624165952205658,2.9720000000000003e-05,16384.0,0.02755562774837017
1160,21.598786399990786,0.6059938669204712,3.0080000000000003e-05,16384.0,0.02144267037510872
1200,21.795290365989786,0.29959094524383545,3.0440000000000003e-05,16384.0,0.01881985180079937
1240,21.991796921007335,0.3461079001426697,3.08e-05,16384.0,0.021030837669968605
1280,22.18832921696594,0.3446837365627289,3.1160000000000007e-05,16384.0,0.01769707165658474
1320,22.384809652983677,0.5673614144325256,3.152e-05,16384.0,0.020962873473763466
1360,22.581314957991708,0.5910336971282959,3.1880000000000006e-05,16384.0,0.021604210138320923
1400,22.777716461976524,0.22253793478012085,3.224e-05,16384.0,0.015713419765233994
1440,22.974130645976402,0.27948522567749023,3.26e-05,16384.0,0.0189629178494215
1480,23.170610400964506,0.7851685881614685,3.296e-05,16384.0,0.02018013969063759
1520,23.367141266004182,0.3412013649940491,3.3320000000000006e-05,16384.0,0.020131999626755714
1560,23.563586580974516,0.21664312481880188,3.368e-05,16384.0,0.015872806310653687
1600,23.759953713975847,0.30241888761520386,3.4040000000000006e-05,16384.0,0.016632085666060448
1640,23.956244075961877,0.2117496281862259,3.44e-05,16384.0,0.014537769369781017
1680,24.1526154599851,0.398866206407547,3.4760000000000006e-05,16384.0,0.017954345792531967
1720,24.34920036495896,0.19618287682533264,3.512e-05,16384.0,0.015724414959549904
1760,24.54567106900504,1.3395808935165405,3.548e-05,16384.0,0.01576758362352848
1800,24.742338515003212,0.22229483723640442,3.584000000000001e-05,16384.0,0.013970051892101765
1840,24.938819558999967,1.4442049264907837,3.6200000000000006e-05,16384.0,0.014890960417687893
1880,25.13527274300577,0.3229711353778839,3.656e-05,16384.0,0.01413644291460514
