dataset,pre_qc,pre_mean_len,pre_n50,pre_gc,pre_q20_fraction,pre_q30_fraction,post_qc,post_mean_len,post_n50,post_gc,post_q20_fraction,post_q30_fraction,primary_inserted_bases,primary_deleted_bases,primary_mismatches,primary_bases_mapped,primary_error_rate,primary_overall_error_rate
2025_07_31,827519,911.398271,748,0.550455,0.5842291735835489,0.47629772003023085,344915,730.646493,738,0.591347,0.8237961737652376,0.6943717620824668,1411677,1857260,6718799,234112420,0.02869903,0.04266214
AB_full,4489198,830.270063,892,0.587142,0.737651804507275,0.6414341094912036,1924991,716.674923,725,0.60562,0.8635103906922749,0.7571466168651495,5057861,7907693,24955811,1224975517,0.0203725,0.03095684
A_full,1493513,743.046883,725,0.595062,0.7272959171766028,0.623176773893382,1168677,713.577027,725,0.606368,0.8599980421398102,0.7506336583914379,2990632,4746101,13313878,743359367,0.01791042,0.02831822
B_full,2995685,873.755596,906,0.583784,0.7420424289058648,0.6491747376079523,756314,721.46187,726,0.604478,0.8688784525084043,0.7671006321939284,2067225,3161592,11641931,481616146,0.02417263,0.03502945
UDP0057,1694634,687.0,687,0.599638,0.6531661393003636,0.5704552480396384,1675556,687.0,687,0.599646,0.6544263498735894,0.572230412135841,156236,156236,10093996,1151058346,0.00876932,0.00904078
